Interactie	Interactors	MI
A1CF	ABHD17C	0.14574834
A1CF	ACKR3	0.08595599
A1CF	ACTBL2	0.17084997
A1CF	ACVR2B	0.14197354
A1CF	ADAMTSL1	0.09600695
A1CF	AKAP12	0.10148671
A1CF	AMT	0.16873057
A1CF	AMT	0.10450354
A1CF	ANKRD36B	0.17756414
A1CF	AP3B2	0.23486881
A1CF	APBB2	0.08590221
A1CF	ASB8	0.10344802
A1CF	BACE1	0.08254276
A1CF	BTG2	0.12866719
A1CF	CASTOR2	0.16727492
A1CF	CD28	0.09219639
A1CF	CLEC5A	0.12492348
A1CF	CSPP1	0.19680787
A1CF	CX3CL1	0.15085087
A1CF	DSCC1	0.14971969
A1CF	ENPP3	0.19670927
A1CF	EPB41L3	0.12923053
A1CF	EQTN	0.13817238
A1CF	FAM170A	0.11751387
A1CF	FER	0.1260778
A1CF	FJX1	0.07994476
A1CF	HES1	0.12357774
A1CF	HYOU1	0.15795847
A1CF	KIFC3	0.12684889
A1CF	KMT2D	0.1375739
A1CF	PLEKHA2	0.18293891
A1CF	PLEKHA6	0.1043187
A1CF	RELL2	0.12252463
A1CF	RRNAD1	0.07847439
A1CF	SECTM1	0.18778519
A1CF	SHANK2	0.11041635
A1CF	SLC30A1	0.12217771
A1CF	SMCO4	0.0921589
A1CF	SRBD1	0.12514037
A1CF	TPD52	0.2061494
A1CF	TUBGCP3	0.20199846
A1CF	TXNIP	0.1191461
ABCA5	AKAP12	0.09057609
ABCA5	APPL1	0.22563548
ABCA5	CD8A	0.09907827
ABCA5	CPEB3	0.10576755
ABCA5	KCNS3	0.08025668
ABCA5	KMT2D	0.08815181
ABCA5	TMEM2	0.08254526
ABCA5	ZNF181	0.22129466
ABCA5	ZNF385A	0.12183497
ABCB8	TMEM25	0.2541504
ABCC8	ACSS3	0.21582629
ABCC8	DRD3	0.13790726
