Interactie,Interactors,MI
A1CF,ABCB8,0.08254276
A1CF,ABCC8,0.10450354
A1CF,ABHD17C,0.1375739
A1CF,ADAMTSL1,0.11041635
A1CF,ADM,0.10576755
A1CF,AKAP12,0.17084997
A1CF,AKT1S1,0.09600695
A1CF,AMOTL2,0.17756414
A1CF,AMT,0.19670927
A1CF,AMT,0.0921589
A1CF,ANKRD44,0.12866719
A1CF,APBB2,0.09057609
A1CF,ATN1,0.08815181
A1CF,BCL7A,0.20199846
A1CF,BTG2,0.12492348
A1CF,CBX6,0.08595599
A1CF,CCDC90B,0.21582629
A1CF,CD8A,0.09219639
A1CF,COL3A1,0.16727492
A1CF,CORO1A,0.08590221
A1CF,CPEB3,0.1043187
A1CF,CRLS1,0.08025668
A1CF,DRD3,0.15795847
A1CF,DUSP2,0.15085087
A1CF,EQTN,0.07847439
A1CF,ERBB3,0.14574834
A1CF,ETF1,0.2061494
A1CF,FANCD2,0.12514037
A1CF,FZD7,0.12357774
A1CF,GCNT1,0.13817238
A1CF,HOXB13,0.07994476
A1CF,KIAA0586,0.1260778
A1CF,KIF2C,0.18293891
A1CF,MTG2,0.12183497
A1CF,NAIP,0.09907827
A1CF,NIPAL4,0.14971969
A1CF,NUDT14,0.10148671
A1CF,PLEKHA6,0.10344802
A1CF,RESP18,0.12217771
A1CF,SERPINE1,0.19680787
A1CF,SUSD6,0.16873057
A1CF,TMEM53,0.22563548
A1CF,TUBGCP3,0.08254526
A1CF,ZNF260,0.18778519
ABCA5,ACSS3,0.11751387
ABCA5,AKAP1,0.12252463
ABCA5,AMT,0.23486881
ABCA5,FJX1,0.14197354
ABCA5,HYKK,0.1191461
ABCA5,PLEKHA6,0.13790726
ABCA5,PRICKLE2,0.12923053
ABCA5,SH3GLB2,0.22129466
ABCA5,TRPS1,0.12684889
ABCA5,ZFPM1,0.2541504
