index	ProbeID	GeneSymbol
68	11715412_a_at	EPAS1
78	11741992_a_at	FAM170A
89	11716551_s_at	HES1
90	11716550_at	HES1
91	11741604_x_at	HIVEP3
93	11727052_at	HOXB13
94	11737135_a_at	HOXC6
98	11716195_a_at	ID1
103	11720529_at	JAZF1
113	11727144_a_at	KLF11
120	11717133_a_at	MAFG
145	11758159_a_at	RELL2
156	11722755_a_at	SHPRH
158	11758110_s_at	SIX1
159	11728386_x_at	SIX5
166	11728384_x_at	SNAPC4
167	11728383_a_at	SNAPC4
189	11727171_at	TRPS1
191	11715413_s_at	TSC22D1
198	11746310_a_at	WIZ
200	11729546_at	ZFPM1
202	11728483_at	ZNF181
203	11726483_at	ZNF260
204	11732346_at	ZNF33A
205	11737134_x_at	ZNF385A
206	11743686_a_at	ZNF436
208	11729931_a_at	ZNF496
209	11717882_a_at	ZNF512
210	11731061_at	ZNF516
211	11735387_at	ZNF560
212	11733224_at	ZNF71
